County-equivalent,State,Per capita income 2008,2012,2016
Coffee,Georgia,17031,"53,317","49,565"
Coffey,Kansas,27627,"34,496","33,374"
Coke,Texas,26407,"34,978","36,422"
Colbert,Alabama,21572,"41,721","43,620"
Cole,Missouri,26160,"37,158","35,608"
Coleman,Texas,18967,"35,721","36,374"
Coles,Illinois,21970,"41,768","43,834"
Colfax,Nebraska,23751,"36,356","37,097"
Colfax,New Mexico,21387,"31,557","34,362"
Colleton,South Carolina,18769,"78,214","84,101"
Collier,Florida,36439,"57,378","61,179"
Collin,Texas,37839,"35,362","39,032"
Collingsworth,Texas,22847,"45,699","46,072"
Colonial Heights City,Virginia,27610,"28,388","30,506"
Colorado County,Texas,24348,"33,693","33,634"
Colquitt,Georgia,17025,"30,772","32,595"
Columbia,New York,33613,"43,386","45,908"
Columbia,Georgia,30949,"48,235","50,935"
Columbia,Wisconsin,28273,"36,784","40,080"
Columbia,Oregon,26271,"35,851","38,671"
Columbia,Washington,23814,"43,256","48,136"
Columbia,Pennsylvania,23681,"45,257","46,574"
Columbia,Arkansas,19439,"34,134","35,574"
Columbia,Florida,19306,"29,728","31,192"
Columbiana,Ohio,21575,"41,198","47,020"
Columbus,North Carolina,19275,"52,644","53,333"
Colusa,California,21579,"36,863","37,577"
Comal,Texas,32980,"37,025","39,001"
Comanche,Oklahoma,22363,"37,344","36,554"
Comanche,Kansas,21041,"23,223","22,477"
Comanche,Texas,19268,"31,502","31,200"
Concho,Texas,19976,"28,729","30,349"
Concordia,Louisiana,16431,"29,276","35,429"
Conecuh,Alabama,15605,"62,957","70,840"
Conejos,Colorado,17316,"54,427","51,182"
Contra Costa,California,38219,"36,905","35,815"
Converse,Wyoming,30941,"25,481","27,224"
Conway,Arkansas,20040,"52,872","56,669"
Cook,Minnesota,32868,"43,737","46,609"
Cook,Illinois,30183,"52,032","47,889"
Cook,Georgia,18592,"33,772","34,987"
Cooke,Texas,25186,"37,243","40,776"
Cooper,Missouri,22910,"36,730","39,769"
Coos,New Hampshire,24367,"27,350","29,276"
Coos,Oregon,22239,"30,829","31,914"
Coosa,Alabama,18493,"29,703","23,877"
Copiah,Mississippi,18318,"35,192","37,670"
Corson,South Dakota,14262,"31,032","32,376"
Cortland,New York,23179,"32,794","32,939"
Coryell,Texas,19357,"29,611","32,313"
Coshocton,Ohio,20526,"54,427","58,009"
Costilla,Colorado,20742,"40,400","37,103"
Cottle,Texas,21089,"43,418","43,205"
Cotton,Oklahoma,21452,"31,219","32,340"
Cottonwood,Minnesota,23456,"32,394","30,788"
Covington,Alabama,20391,"39,091","41,785"
Covington,Mississippi,17241,"36,105","36,240"
Covington City,Virginia,20160,"39,267","41,449"
Coweta,Georgia,26757,"34,971","34,139"
Cowley,Kansas,21519,"32,957","34,705"
Cowlitz,Washington,23557,"34,010","35,378"
Craig,Virginia,21498,"45,631","38,322"
Craig,Oklahoma,19820,"39,346","41,962"
Craighead,Arkansas,23138,"29,342","30,558"
Crane,Texas,22291,"29,876","32,227"
Craven,North Carolina,24260,"43,140","42,754"
Crawford,Illinois,25214,"30,740","32,906"
Crawford,Iowa,22748,"41,188","39,296"
Crawford,Wisconsin,22549,"33,654","34,508"
Crawford,Pennsylvania,21741,"28,795","31,120"
Crawford,Michigan,21492,"30,764","34,810"
Crawford,Ohio,21478,"34,054","35,242"
Crawford,Kansas,20974,"35,786","36,975"
Crawford,Georgia,20556,"36,342","38,041"
Crawford,Indiana,20504,"37,597","38,034"
Crawford,Arkansas,19477,"32,949","33,684"
Crawford,Missouri,18415,"25,993","28,315"
Creek,Oklahoma,22327,"33,427","34,830"
Crenshaw,Alabama,21343,"35,815","35,116"
Crisp,Georgia,18185,"34,467","35,543"
Crittenden,Kentucky,21375,"39,930","34,063"
Crittenden,Arkansas,19665,"34,234","36,684"
Crockett,Texas,23872,"45,749","40,644"
Crockett,Tennessee,18664,"32,772","34,986"
Crook,Wyoming,28212,"35,575","36,379"
Crook,Oregon,20883,"39,103","41,887"
Crosby,Texas,18959,"22,773","25,522"
Cross,Arkansas,18701,"40,121","43,072"
Crow Wing,Minnesota,26527,"34,921","36,315"
Crowley,Colorado,17187,"40,162","42,889"
Culberson,Texas,16227,"38,385","38,856"
Cullman,Alabama,20760,"29,135","31,197"
Culpeper,Virginia,27379,"50,529","54,309"
Cumberland,Maine,32880,"34,897","37,363"
Cumberland,Pennsylvania,31791,"36,146","37,835"
Cumberland,North Carolina,23067,"49,003","51,384"
Cumberland,Illinois,22952,"32,806","34,828"
Cumberland,New Jersey,22524,"33,091","34,967"
Cumberland,Virginia,21540,"74,551","70,495"
Cumberland,Tennessee,21141,"39,554","41,810"
Cumberland,Kentucky,17697,"43,046","42,034"
Cuming,Nebraska,24496,"36,876","39,555"
Currituck,North Carolina,25854,"41,316","42,468"
Curry,Oregon,23972,"40,330","40,683"
Curry,New Mexico,21259,"40,855","40,763"
Custer,South Dakota,28356,"53,011","52,938"
Custer,Colorado,25761,"40,904","35,834"
Custer,Nebraska,24615,"41,497","43,420"
Custer,Idaho,23965,"47,157","50,023"
Custer,Montana,23910,"28,977","31,181"
Custer,Oklahoma,23261,"32,455","31,117"
Cuyahoga,Ohio,27423,"33,683","34,879"
Dade,Georgia,21690,"51,670","54,975"
Dade,Missouri,20034,"35,166","38,911"
Daggett,Utah,22811,"33,634","34,673"
Dakota,Minnesota,34828,"55,412","54,826"
Dakota,Nebraska,20179,"30,430","33,578"
Dale,Alabama,22685,"28,839","31,779"
Dallam,Texas,19752,"57,494","61,159"
Dallas,Iowa,35844,"29,149","29,949"
Dallas,Texas,26816,"51,608","52,784"
Dallas,Missouri,18155,"51,460","55,232"
Dallas,Alabama,17245,"36,508","38,811"
Dallas,Arkansas,16838,"47,465","49,248"
Dane,Wisconsin,33712,"37,426","37,299"
Daniels,Montana,31449,"32,676","34,890"
Danville City,Virginia,19626,"44,985","47,864"
Dare,North Carolina,30529,"33,965","35,566"
Darke,Ohio,22511,"51,179","58,283"
Darlington,South Carolina,20105,"40,966","42,828"
Dauphin,Pennsylvania,29234,"37,319","39,041"
Davidson,Tennessee,28467,"38,787","39,641"
Davidson,North Carolina,22549,"36,339","35,301"
Davie,North Carolina,26319,"35,548","33,812"
Daviess,Kentucky,22963,"38,181","41,339"
Daviess,Indiana,21416,"46,370","49,614"
Daviess,Missouri,19890,"34,980","33,976"
Davis,Utah,26035,"36,777","39,826"
Davis,Iowa,22210,"42,827","39,379"
Davison,South Dakota,24597,"38,450","39,718"
Dawes,Nebraska,21137,"33,973","34,055"
Dawson,Georgia,27330,"42,417","43,296"
Dawson,Montana,26126,"43,406","40,269"
Dawson,Nebraska,20142,"36,609","37,772"
Dawson,Texas,17677,"43,097","43,632"
Day,South Dakota,23126,"41,696","37,947"
De Baca,New Mexico,24879,"40,423","43,322"
Deaf Smith,Texas,17532,"32,314","34,493"
Dearborn,Indiana,27058,"37,805","39,262"
Decatur,Kansas,27154,"32,108","33,196"
Decatur,Tennessee,25368,"46,992","45,972"
Decatur,Indiana,22046,"32,787","34,411"
Decatur,Iowa,18845,"34,393","37,184"
Decatur,Georgia,18059,"36,181","37,687"
Deer Lodge,Montana,22052,"28,758","29,610"
Defiance,Ohio,22739,"41,674","45,445"
DeKalb,Georgia,28810,"34,983","36,762"
DeKalb,Illinois,23696,"36,778","39,682"
DeKalb,Indiana,22827,"25,030","25,390"
DeKalb,Tennessee,21606,"31,548","34,346"
DeKalb,Alabama,18149,"31,310","34,199"
DeKalb,Missouri,16635,"32,022","34,452"
Del Norte,California,19072,"43,750","43,681"
Delaware County,Ohio,40189,"35,302","36,422"
Delaware County,Pennsylvania,33179,"62,408","66,532"
Delaware County,Iowa,26261,"30,368","30,806"
Delaware County,New York,23677,"55,705","59,594"
Delaware County,Oklahoma,21109,"31,195","32,318"
Delaware County,Indiana,20854,"34,896","37,306"
Delta,Colorado,24771,"34,694","37,273"
Delta,Michigan,22471,"67,864","69,535"
Delta,Texas,20150,"29,945","31,556"
Denali,Alaska,35295,"48,378","51,332"
Dent,Missouri,18544,"67,981","67,256"
Denton,Texas,33855,"44,638","48,092"
Denver,Colorado,33251,"41,996","47,809"
Des Moines,Iowa,24408,"37,700","39,436"
Deschutes,Oregon,27524,"22,516","23,023"
Desha,Arkansas,19822,"35,318","37,930"
DeSoto,Mississippi,25176,"42,343","45,160"
DeSoto,Louisiana,21547,"51,679","50,703"
DeSoto,Florida,15088,"49,691","43,849"
Deuel,South Dakota,27525,"38,491","33,250"
Deuel,Nebraska,27199,"55,050","55,956"
Dewey,Oklahoma,24860,"29,076","31,954"
Dewey,South Dakota,15558,"27,727","27,807"
DeWitt,Illinois,26704,"58,154","57,092"
DeWitt,Texas,23720,"50,761","53,622"
Dickens,Texas,20578,"42,964","45,185"
Dickenson,Virginia,18215,"41,354","43,948"
Dickey,North Dakota,24644,"34,078","36,490"
Dickinson,Iowa,31790,"51,996","53,923"
Dickinson,Michigan,24611,"24,387","26,747"
Dickinson,Kansas,23895,"48,194","41,310"
Dickson,Tennessee,21547,"36,727","38,356"
Dillingham Census Area,Alaska,21498,"70,239","51,906"
Dillon,South Carolina,14988,"24,772","25,981"
Dimmit,Texas,17516,"45,581","46,012"
Dinwiddie,Virginia,23781,"25,974","25,258"
Divide,North Dakota,36303,"26,516","28,313"
Dixie,Florida,16851,"41,393","42,775"
Dixon,Nebraska,23769,"40,660","44,081"
Doddridge,West Virginia,17334,"39,850","40,224"
Dodge,Minnesota,29107,"41,231","30,593"
Dodge,Nebraska,24588,"30,620","32,852"
Dodge,Wisconsin,24573,"33,481","36,355"
Dodge,Georgia,18114,"39,528","40,549"
Dolores,Colorado,22880,"21,203","24,737"
Doña Ana,New Mexico,19565,"51,165","55,336"
Doniphan,Kansas,22713,"40,375","42,404"
Donley,Texas,21904,"34,710","36,460"
Dooly,Georgia,14510,"32,136","34,074"
Door,Wisconsin,30657,"65,220","67,139"
Dorchester,Maryland,26388,"30,978","32,966"
Dorchester,South Carolina,24495,"44,603","44,749"
Dougherty,Georgia,18619,"37,031","39,440"
Douglas,Colorado,43634,"44,692","48,315"
Douglas,Nevada,34123,"23,000","23,973"
Douglas,Nebraska,29180,"57,126","59,061"
Douglas,South Dakota,28323,"53,243","60,185"
Douglas,Minnesota,27716,"54,806","56,124"
Douglas,Kansas,26342,"55,018","55,617"
Douglas,Wisconsin,25129,"57,468","65,495"
Douglas,Illinois,23732,"34,370","37,077"
Douglas,Georgia,23626,"55,806","54,674"
Douglas,Washington,22467,"34,400","36,951"
Douglas,Oregon,21870,"37,113","38,861"
Douglas,Missouri,16404,"34,784","35,643"
Drew,Arkansas,17057,"49,744","50,032"
Dubois,Indiana,25589,"43,102","45,068"
Dubuque,Iowa,26254,"39,452","32,430"
Duchesne,Utah,23411,"73,734","81,932"
Dukes,Massachusetts,33363,"66,418","64,873"
Dundy,Nebraska,28502,"31,180","32,078"
Dunklin,Missouri,17990,"94,072","69,651"
Dunn,North Dakota,33788,"36,201","36,411"
Dunn,Wisconsin,22499,"61,417","66,072"
DuPage,Illinois,38570,"31,995","31,844"
Duplin,North Carolina,17122,"43,230","45,931"
Durham,North Carolina,29347,"47,061","50,132"
Dutchess,New York,33594,"39,919","42,574"
Duval,Florida,26143,"39,929","35,308"
Duval,Texas,20181,"36,673","38,195"
Dyer,Tennessee,21208,"59,209","64,581"
Eagle,Colorado,39497,"34,193","38,193"
Early,Georgia,17579,"44,832","45,248"
East Baton Rouge,Louisiana,27505,"33,312","32,783"
East Carroll,Louisiana,12055,"35,464","37,313"
East Feliciana,Louisiana,22099,"52,253","51,152"
Eastland,Texas,21125,"36,329","39,777"
Eaton,Michigan,26582,"42,541","43,543"
Eau Claire,Wisconsin,25287,"23,516","23,699"
Echols,Georgia,15861,"49,923","41,522"
Ector,Texas,24247,"51,713","48,077"
Eddy,New Mexico,28438,"46,182","48,274"
Eddy,North Dakota,27323,"38,460","40,746"
Edgar,Illinois,23368,"31,308","33,070"
Edgecombe,North Carolina,16971,"30,222","32,921"
Edgefield,South Carolina,20753,"28,088","29,784"
Edmonson,Kentucky,19481,"47,428","43,136"
Edmunds,South Dakota,25775,"35,478","34,932"
Edwards,Kansas,24714,"47,805","52,591"
Edwards,Texas,22015,"37,891","32,575"
Edwards,Illinois,20898,"36,385","37,934"
Effingham,Illinois,27051,"43,932","44,312"
Effingham,Georgia,24824,"56,581","61,206"
El Dorado,California,34884,"42,470","44,409"
El Paso,Colorado,28867,"31,189","32,954"
El Paso,Texas,18379,"48,388","50,865"
Elbert,Colorado,36077,"31,168","32,857"
Elbert,Georgia,18835,"43,181","45,349"
Elk,Pennsylvania,23738,"42,628","44,772"
Elk,Kansas,20322,"38,252","41,712"
Elkhart,Indiana,21109,"42,888","45,866"
Elko,Nevada,28358,"19,790","21,737"
Elliott,Kentucky,14040,"46,309","43,786"
Ellis,Oklahoma,27183,"69,321","50,893"
Ellis,Texas,25662,"38,195","40,094"
Ellis,Kansas,24291,"40,581","36,268"
Ellsworth,Kansas,22789,"36,345","39,226"
Elmore,Alabama,23856,"33,457","35,734"
Elmore,Idaho,20646,"27,158","28,687"
Emanuel,Georgia,17064,"29,803","30,316"
Emery,Utah,20137,"41,738","40,194"
Emmet,Michigan,29718,"46,709","50,256"
Emmet,Iowa,27908,"43,004","50,733"
Emmons,North Dakota,27690,"32,670","33,107"
Emporia City,Virginia,19710,"44,710","47,559"
Erath,Texas,21670,"47,793","46,222"
Erie,New York,27978,"38,808","40,764"
Erie,Ohio,26135,"29,394","31,174"
Erie,Pennsylvania,24189,"37,065","39,582"
Escambia,Florida,23441,"49,102","42,147"
Escambia,Alabama,16540,"57,087","61,442"
Esmeralda,Nevada,20862,"57,541","60,887"
Essex,Massachusetts,35167,"39,892","41,327"
Essex,New Jersey,32181,"33,314","34,708"
Essex,New York,26582,"37,841","39,383"
Essex,Virginia,21532,"28,908","30,264"
Essex,Vermont,20887,"32,914","34,932"
Estill,Kentucky,16435,"37,875","34,159"
Etowah,Alabama,20204,"34,817","35,027"
Eureka,Nevada,28056,"30,161","32,219"
Evangeline,Louisiana,18023,"51,995","53,647"
Evans,Georgia,18998,"72,552","75,978"
Fairbanks North Star,Alaska,32143,"103,899","106,666"
Fairfax City,Virginia,44345,"39,628","42,049"
Fairfax County,Virginia,50532,"31,904","34,801"
Fairfield,Connecticut,48721,"43,508","43,856"
Fairfield,Ohio,27031,"51,648","43,814"
Fairfield,South Carolina,20257,"31,435","32,442"
Fall River,South Dakota,23624,"30,084","32,139"
Fallon,Montana,28563,"33,557","36,265"
Falls,Texas,16486,"39,171","38,421"
Falls Church City,Virginia,59088,"50,425","41,008"
Fannin,Texas,20337,"33,625","35,159"
Fannin,Georgia,19164,"59,695","63,854"
Faribault,Minnesota,25065,"29,056","31,296"
Faulk,South Dakota,23069,"52,596","56,759"
Faulkner,Arkansas,24401,"29,651","30,531"
Fauquier,Virginia,39600,"34,520","36,525"
Fayette,Georgia,35344,"39,308","39,709"
Fayette,Kentucky,29251,"43,357","45,025"
Fayette,Tennessee,28201,"33,597","35,222"
Fayette,Texas,27032,"36,803","38,960"
Fayette,Iowa,23391,"45,921","50,209"
Fayette,Illinois,21523,"50,454","48,197"
Fayette,Pennsylvania,20884,"29,634","30,239"
Fayette,Ohio,20603,"28,715","29,676"
Fayette,Indiana,18757,"38,807","40,197"
Fayette,West Virginia,18685,"30,867","32,876"
Fayette,Alabama,18494,"40,678","42,246"
Fentress,Tennessee,16454,"56,744","58,725"
Fergus,Montana,24429,"40,033","40,821"
Ferry,Washington,20052,"45,669","45,679"
Fillmore,Nebraska,25460,"38,879","40,447"
Fillmore,Minnesota,25249,"38,732","42,302"
Finney,Kansas,21629,"28,999","29,076"
Fisher,Texas,22709,"35,929","38,258"
Flagler,Florida,24497,"44,143","48,949"
Flathead,Montana,25790,"34,189","36,470"
Fleming,Kentucky,19304,"46,731","50,648"
Florence,Wisconsin,22434,"39,876","41,741"
Florence,South Carolina,22432,"31,509","32,994"
Floyd,Indiana,27185,"39,947","38,116"
Floyd,Iowa,24590,"33,143","34,622"
Floyd,Virginia,21816,"38,050","40,825"
Floyd,Texas,21655,"41,627","37,381"
Floyd,Georgia,20500,"42,231","44,665"
Floyd,Kentucky,17716,"49,446","49,344"
Fluvanna,Virginia,30881,"32,910","36,111"
Foard,Texas,20202,"24,201","24,639"
Fond du Lac,Wisconsin,26368,"33,210","35,263"
Ford,Illinois,25448,"34,142","35,451"
Ford,Kansas,19994,"53,165","58,369"
Forest,Wisconsin,20462,"42,682","44,672"
Forest,Pennsylvania,13646,"55,537","54,005"
Forrest,Mississippi,19736,"56,658","61,917"
Forsyth,Georgia,34582,"35,533","37,496"
Forsyth,North Carolina,26541,"30,692","32,203"
Fort Bend,Texas,34084,"29,915","29,923"
Foster,North Dakota,33063,"33,418","35,334"
Fountain,Indiana,23063,"32,915","35,011"
Franklin,Massachusetts,29259,"31,253","32,713"
Franklin,Ohio,28283,"33,342","33,791"
Franklin,Texas,28189,"39,976","43,219"
Franklin,Vermont,27398,"50,991","47,179"
Franklin,Kentucky,26243,"36,563","38,371"
Franklin,Iowa,26102,"37,641","39,631"
Franklin,Nebraska,26095,"29,222","31,253"
Franklin,Pennsylvania,25741,"33,683","34,937"
Franklin,Missouri,24742,"45,864","50,037"
Franklin,Mississippi,24234,"30,460","31,623"
Franklin,Indiana,24085,"37,447","40,165"
Franklin,Kansas,22979,"41,989","41,723"
Franklin,Tennessee,22398,"35,025","36,488"
Franklin,Maine,22083,"31,140","32,847"
Franklin,New York,21575,"45,401","48,150"
Franklin,North Carolina,21399,"40,687","42,275"
Franklin,Illinois,20394,"34,385","36,366"
Franklin,Florida,19843,"35,762","34,850"
Franklin,Washington,19503,"40,382","42,178"
Franklin,Arkansas,19135,"35,358","37,300"
Franklin,Alabama,18888,"32,302","35,339"
Franklin,Georgia,18234,"53,040","56,072"
Franklin,Louisiana,17752,"43,158","46,356"
Franklin,Idaho,17620,"38,228","40,045"
Franklin City,Virginia,19588,"33,201","32,667"
Franklin County,Virginia,24557,"29,657","32,016"
Frederick,Maryland,36917,"44,111","46,672"
Frederick,Virginia,30112,"41,082","39,326"
Fredericksburg City,Virginia,27222,"32,408","34,370"
Freeborn,Minnesota,25668,"36,909","40,101"
Freestone,Texas,22876,"37,239","33,854"
Fremont,Iowa,26930,"48,106","43,379"
Fremont,Wyoming,24037,"25,763","26,359"
Fremont,Idaho,19475,"68,820","74,095"
Fremont,Colorado,18954,"33,704","34,286"
Fresno,California,20208,"36,866","39,430"
Frio,Texas,15863,"31,424","31,501"
Frontier,Nebraska,25262,"36,970","39,159"
Fulton,Georgia,36757,"39,168","41,358"
Fulton,Ohio,24771,"35,921","37,026"
Fulton,New York,23839,"48,493","45,177"
Fulton,Pennsylvania,23201,"29,175","31,480"
Fulton,Illinois,22318,"45,944","47,342"
Fulton,Indiana,21226,"37,986","35,690"
Fulton,Arkansas,19326,"42,399","42,903"
Fulton,Kentucky,18602,"28,471","29,515"
Furnas,Nebraska,22068,"44,754","47,959"
Gadsden,Florida,17615,"34,252","35,640"
Gage,Nebraska,24555,"47,234","47,605"
Gaines,Texas,21572,"50,260","44,259"
Galax City,Virginia,21769,"49,789","55,227"
Gallatin,Montana,28939,"40,524","40,763"
Gallatin,Illinois,23862,"48,777","46,755"
Gallatin,Kentucky,19020,"46,072","44,782"
Gallia,Ohio,21168,"32,041","35,183"
Galveston,Texas,30926,"42,554","43,447"
Garden,Nebraska,26715,"36,498","38,579"
Garfield,Washington,26954,"29,117","29,897"
Garfield,Colorado,26603,"39,681","41,539"
Garfield,Montana,25921,"41,713","38,949"
Garfield,Oklahoma,24177,"40,367","36,064"
Garfield,Nebraska,22092,"35,640","37,301"
Garfield,Utah,21989,"35,693","38,565"
Garland,Arkansas,23170,"32,300","34,125"
Garrard,Kentucky,21341,"41,674","43,025"
Garrett,Maryland,24932,"59,561","61,456"
Garvin,Oklahoma,21285,"31,530","33,690"
Garza,Texas,16175,"34,787","37,675"
Gasconade,Missouri,21830,"38,947","40,175"
Gaston,North Carolina,22658,"31,085","32,418"
Gates,North Carolina,21187,"41,523","38,172"
Geary,Kansas,21408,"30,662","31,425"
Geauga,Ohio,34455,"38,781","42,195"
Gem,Idaho,20250,"39,506","40,402"
Genesee,New York,25403,"34,729","36,898"
Genesee,Michigan,22380,"34,571","36,294"
Geneva,Alabama,20199,"30,545","31,808"
Gentry,Missouri,20534,"34,234","37,303"
George,Mississippi,20217,"35,640","36,957"
Georgetown,South Carolina,24437,"53,251","55,644"
Gibson,Indiana,24258,"39,373","44,085"
Gibson,Tennessee,20402,"30,150","31,148"
Gila,Arizona,20792,"25,811","24,779"
Gilchrist,Florida,20180,"39,071","41,501"
Giles,Virginia,23485,"31,147","31,869"
Giles,Tennessee,19998,"20,960","23,041"
Gillespie,Texas,30117,"30,943","33,807"
Gilliam,Oregon,25320,"27,703","29,809"
Gilmer,Georgia,21317,"83,128","91,765"
Gilmer,West Virginia,17870,"37,820","41,820"
Gilpin,Colorado,38022,"46,650","50,006"
Glacier,Montana,15604,"43,263","45,923"
Glades,Florida,16011,"38,549","41,105"
Gladwin,Michigan,20368,"33,425","36,887"
Glascock,Georgia,17984,"46,288","49,017"
Glasscock,Texas,31135,"57,800","55,808"
Glenn,California,22148,"45,485","42,320"
Gloucester,New Jersey,32600,"45,910","42,456"
Gloucester,Virginia,28673,"81,655","87,084"
Glynn,Georgia,26724,"46,588","48,888"
Gogebic,Michigan,20330,"57,761","53,068"
Golden Valley,North Dakota,26113,"30,607","32,234"
Golden Valley,Montana,23508,"40,415","40,675"
Goliad,Texas,30031,"48,865","46,652"
Gonzales,Texas,20288,"53,172","53,954"
Goochland,Virginia,45039,"29,324","30,230"
Goodhue,Minnesota,29932,"38,569","37,249"
Gooding,Idaho,18373,"52,021","56,235"
Gordon,Georgia,19177,"29,280","29,689"
Goshen,Wyoming,23475,"49,889","44,186"
Gosper,Nebraska,23266,"28,357","29,540"
Gove,Kansas,26233,"28,370","30,538"
Grady,Oklahoma,23500,"39,321","41,666"
Grady,Georgia,15734,"39,236","41,958"
Grafton,New Hampshire,30738,"45,338","48,566"
Graham,Kansas,28146,"52,267","54,335"
Graham,North Carolina,19780,"42,107","44,834"
Graham,Arizona,17168,"34,398","36,868"
Grainger,Tennessee,17933,"33,572","35,588"
Grand,Colorado,31684,"35,516","38,134"
Grand,Utah,23558,"49,937","47,891"
Grand Forks,North Dakota,27026,"30,662","32,808"
Grand Isle,Vermont,33159,"28,552","31,045"
Grand Traverse,Michigan,27660,"45,243","47,079"
Granite,Montana,26277,"57,433","48,006"
Grant,North Dakota,28129,"35,062","36,068"
Grant,Oklahoma,27469,"43,993","42,514"
Grant,Minnesota,26665,"55,779","48,955"
Grant,Kansas,26370,"36,745","38,888"
Grant,South Dakota,24554,"53,672","63,632"
Grant,Oregon,23828,"35,400","40,879"
Grant,Arkansas,23239,"31,639","33,204"
Grant,New Mexico,22755,"38,017","39,588"
Grant,Wisconsin,21705,"33,264","35,158"
Grant,Indiana,20516,"32,323","34,641"
Grant,West Virginia,20193,"34,824","34,476"
Grant,Nebraska,19968,"75,268","72,762"
Grant,Kentucky,19829,"47,018","41,772"
Grant,Washington,19738,"35,034","36,824"
Grant,Louisiana,19018,"30,120","31,540"
Granville,North Carolina,22295,"37,861","38,932"
Gratiot,Michigan,18836,"29,966","31,556"
Graves,Kentucky,20746,"49,972","46,969"
Gray,Kansas,25537,"46,606","45,604"
Gray,Texas,21738,"31,908","33,115"
Grays Harbor,Washington,21828,"44,822","46,729"
Grayson,Texas,24003,"44,308","44,759"
Grayson,Virginia,20591,"33,702","34,932"
Grayson,Kentucky,19115,"29,848","32,245"
Greeley,Kansas,32650,"31,212","32,755"
Greeley,Nebraska,23833,"44,658","48,216"
Green,Wisconsin,27060,"35,606","35,426"
Green,Kentucky,17984,"34,649","36,560"
Green Lake,Wisconsin,25275,"48,308","47,085"
Greenbrier,West Virginia,21720,"23,223","24,418"
Greene,Ohio,30040,"37,343","40,019"
Greene,Georgia,27828,"40,501","42,275"
Greene,Virginia,26998,"30,182","29,697"
Greene,Iowa,26205,"43,227","46,106"
Greene,New York,25700,"44,703","42,565"
Greene,Missouri,23520,"35,790","38,067"
Greene,Illinois,22307,"37,387","40,175"
Greene,Indiana,22235,"37,226","36,936"
Greene,Pennsylvania,21819,"29,946","31,247"
Greene,Tennessee,19801,"36,060","37,193"
Greene,Arkansas,19652,37;123,"38,456"
Greene,North Carolina,18441,"34,561","35,412"
Greene,Alabama,14930,"35,467","36,547"
Greene,Mississippi,14463,"28,456","30,897"
Greenlee,Arizona,20516,"43,325","45,678"
Greensville,Virginia,16380,"41,637","44,298"
Greenup,Kentucky,22035,"42,989","40,956"
Greenville,South Carolina,26643,"32,520","34,478"
Greenwood,Kansas,22280,"27,473","23,191"
Greenwood,South Carolina,21053,"47,683","44,580"
Greer,Oklahoma,17969,"43,295","41,187"
Gregg,Texas,24064,"33,622","37,230"
Gregory,South Dakota,23041,"54,889","57,131"
Grenada,Mississippi,21084,"35,852","35,677"
Griggs,North Dakota,27197,"51,011","48,004"
Grimes,Texas,20307,"47,770","49,241"
Grundy,Iowa,31164,"33,109","33,637"
Grundy,Illinois,28725,"27,537","29,275"
Grundy,Missouri,19527,"29,418","32,121"
Grundy,Tennessee,15683,"39,856","42,164"
Guadalupe,Texas,26184,"35,515","37,069"
Guadalupe,New Mexico,14198,"40,580","43,556"
Guernsey,Ohio,20537,"28,814","30,980"
Guilford,North Carolina,26461,"40,893","43,473"
Gulf,Florida,18546,"48,424","49,429"
Gunnison,Colorado,27654,"35,856","38,638"
Guthrie,Iowa,28030,"55,887","44,719"
Gwinnett,Georgia,25932,"29,236","30,330"
Haakon,South Dakota,25754,"46,730","50,667"
Habersham,Georgia,18910,"33,220","35,388"
Haines,Alaska,31096,"30,955","32,061"
Hale,Alabama,18812,"31,855","34,002"
Hale,Texas,18004,"32,781","34,527"
Halifax,Virginia,20929,"35,422","39,065"
Halifax,North Carolina,17937,"37,805","39,994"
Hall,Georgia,23645,"34,993","34,752"
Hall,Nebraska,23380,"33,188","35,780"
Hall,Texas,19004,"23,593","24,805"
Hamblen,Tennessee,21261,"41,695","42,543"
Hamilton,Indiana,39521,"62,931","67,191"
Hamilton,Ohio,29681,"50,922","46,489"
Hamilton,New York,28265,"73,335","55,099"
Hamilton,Tennessee,27229,"49,091","50,416"
Hamilton,Nebraska,26715,"50,147","52,576"
Hamilton,Iowa,24510,"51,312","53,456"
Hamilton,Kansas,24510,"44,883","48,053"
Hamilton,Texas,23067,"53,103","55,320"
Hamilton,Illinois,21960,"37,716","38,770"
Hamilton,Florida,16295,"43,894","47,370"
Hamlin,South Dakota,25233,"44,461","47,440"
Hampden,Massachusetts,25817,"29,570","31,730"
Hampshire,Massachusetts,29460,"26,345","28,723"
Hampshire,West Virginia,17734,"38,984","41,385"
Hampton,South Carolina,19332,"25,417","26,448"
Hampton City,Virginia,25247,"41,353","41,033"
Hancock,Indiana,28111,"42,626","46,188"
Hancock,Maine,27797,"51,138","48,142"
Hancock,Ohio,26139,"34,812","34,727"
Hancock,Iowa,25814,"43,387","46,959"
Hancock,Illinois,23714,"33,170","32,487"
Hancock,West Virginia,23261,"45,189","60,143"
Hancock,Kentucky,22686,"23,031","24,256"
Hancock,Mississippi,22621,"36,452","37,934"
Hancock,Tennessee,14326,"53,863","46,997"
Hancock,Georgia,12381,"51,486","55,447"
Hand,South Dakota,26027,"75,850","64,374"
Hanover,Virginia,33540,"64,004","60,596"
Hansford,Texas,23969,"30,827","32,295"
Hanson,South Dakota,23197,"24,654","25,246"
Haralson,Georgia,19789,"26,398","28,296"
Hardee,Florida,15366,"37,017","36,699"
