County-equivalent,State,Per capita income 2008,2012,2016
Barren,Kentucky,19745,"33,572","34,987"
Barron,Wisconsin,23337,"42,796","44,458"
Barrow,Georgia,21379,"31,673","33,635"
Barry,Michigan,25059,"38,369","40,469"
Barry,Missouri,19489,"32,212","32,158"
Bartholomew,Indiana,27359,"44,458","47,386"
Barton,Kansas,25800,"50,544","48,338"
Barton,Missouri,20678,"34,061","32,926"
Bartow,Georgia,21022,"32,697","35,306"
Bastrop,Texas,23342,"31,385","33,453"
Bates,Missouri,21047,"32,545","32,857"
Bath,Virginia,28704,"27,757","28,154"
Bath,Kentucky,16367,"47,394","51,519"
Baxter,Arkansas,21334,"33,789","34,537"
Bay,Florida,24498,"38,346","40,926"
Bay,Michigan,23799,"36,388","39,404"
Bayfield,Wisconsin,25377,"40,619","42,370"
Baylor,Texas,28021,"42,475","38,923"
Beadle,South Dakota,24025,"44,947","51,081"
Bear Lake,Idaho,21853,"35,076","36,620"
Beaufort,South Carolina,32503,"37,010","38,758"
Beaufort,North Carolina,21636,"47,664","50,078"
Beauregard,Louisiana,22509,"38,928","39,950"
Beaver,Pennsylvania,26258,"52,860","44,277"
Beaver,Oklahoma,26109,"41,421","43,659"
Beaver,Utah,19415,"35,088","33,652"
Beaverhead,Montana,22872,"39,756","41,054"
Becker,Minnesota,25455,"40,917","43,415"
Beckham,Oklahoma,23959,"44,516","35,687"
Bedford,Pennsylvania,22259,"34,050","35,123"
Bedford,Tennessee,19303,"35,346","37,873"
Bedford City,Virginia,22322,"33,250","34,069"
Bedford ,Virginia,28697,"40,309","42,082"
Bee,Texas,16848,"29,430","26,466"
Belknap,New Hampshire,30518,"51,482","55,431"
Bell,Texas,22857,"27,791","28,923"
Bell,Kentucky,15091,"40,100","41,380"
Belmont,Ohio,22380,"36,802","37,311"
Beltrami,Minnesota,21622,"34,981","37,236"
Ben Hill,Georgia,14204,"26,936","28,165"
Benewah,Idaho,20198,"29,938","33,035"
Bennett,South Dakota,16275,"29,473","27,250"
Bennington,Vermont,29196,"46,436","49,278"
Benson,North Dakota,18162,"31,788","32,763"
Bent,Colorado,15081,"28,900","30,411"
Benton,Washington,28583,"73,976","76,554"
Benton,Oregon,26738,"38,904","38,781"
Benton,Arkansas,26715,"46,306","48,239"
Benton,Iowa,26624,"37,622","39,437"
Benton,Minnesota,24453,"26,439","28,215"
Benton,Indiana,23049,"32,831","32,964"
Benton,Missouri,19717,"39,555","42,245"
Benton,Mississippi,18597,"32,131","34,013"
Benton,Tennessee,18456,"41,186","45,329"
Benzie,Michigan,24831,"35,835","38,599"
Bergen,New Jersey,43347,"73,293","77,187"
Berkeley,West Virginia,26264,"33,453","35,667"
Berkeley,South Carolina,24165,"35,772","37,576"
Berks,Pennsylvania,26723,"43,182","45,763"
Berkshire,Massachusetts,29294,"47,914","52,288"
Bernalillo,New Mexico,26814,"38,162","41,038"
Berrien,Michigan,24013,"27,157","29,118"
Berrien,Georgia,16784,"40,006","44,007"
Bertie,North Carolina,17096,"30,993","32,516"
Bethel Census Area,Alaska,18497,"38,489","40,826"
Bexar,Texas,24253,"41,317","43,617"
Bibb,Georgia,20982,"28,123","29,264"
Bibb,Alabama,17427,"37,227","39,335"
Bienville,Louisiana,18958,"31,903","32,966"
Big Horn,Wyoming,25119,"27,513","29,532"
Big Horn,Montana,15695,"37,293","35,815"
Big Stone,Minnesota,26019,"47,005","50,210"
Billings,North Dakota,37972,"109,164","78,609"
Bingham,Idaho,18872,"32,028","34,065"
Black Hawk,Iowa,24273,"39,583","40,837"
Blackford,Indiana,20322,"35,163","36,394"
Bladen,North Carolina,19154,"31,865","33,508"
Blaine,Idaho,35524,"86,255","92,495"
Blaine,Oklahoma,20242,"28,332","28,671"
Blaine,Nebraska,19141,"65,574","56,531"
Blaine,Montana,17437,"42,958","41,818"
Blair,Pennsylvania,23875,"39,121","41,754"
Blanco,Texas,26781,"47,364","47,365"
Bland,Virginia,18501,"31,441","33,354"
Bleckley,Georgia,20156,"29,565","30,672"
Bledsoe,Tennessee,15747,"19,950","20,353"
Blount,Tennessee,23788,"30,949","31,470"
Blount,Alabama,20730,"36,491","39,226"
Blue Earth,Minnesota,25380,"41,162","41,663"
Boise,Idaho,24324,"35,653","38,027"
Bolivar,Mississippi,16462,"33,963","36,261"
Bollinger,Missouri,19470,"28,696","30,458"
Bon Homme,South Dakota,20941,"34,548","36,355"
Bond,Illinois,23195,"32,729","33,276"
Bonner,Idaho,23221,"33,720","36,553"
Bonneville,Idaho,22657,"38,438","42,728"
Boone,Indiana,37482,"31,906","33,026"
Boone,Kentucky,29235,"40,222","42,128"
Boone,Iowa,27149,"61,396","65,716"
Boone,Missouri,26895,"44,542","44,926"
Boone,Illinois,25888,"41,310","43,507"
Boone,Nebraska,25590,"41,073","43,292"
Boone,Arkansas,22160,"62,477","59,530"
Boone,West Virginia,21627,"30,440","31,026"
Borden,Texas,50042,"51,198","46,359"
Bosque,Texas,23992,"38,403","39,190"
Bossier,Louisiana,27429,"40,637","42,360"
Botetourt,Virginia,32490,"44,763","46,748"
Bottineau,North Dakota,31969,"56,921","52,435"
Boulder,Colorado,38011,"59,296","63,707"
Boundary,Idaho,19877,"31,339","30,653"
Bourbon,Kentucky,22893,"36,822","39,174"
Bourbon,Kansas,19340,"36,478","38,049"
Bowie,Texas,22911,"35,456","37,899"
Bowman,North Dakota,32045,"67,466","55,486"
Box Butte,Nebraska,25046,"44,316","44,699"
Box Elder,Utah,21720,"31,937","33,265"
Boyd,Kentucky,24530,"34,747","36,096"
Boyd,Nebraska,23157,"45,805","46,673"
Boyle,Kentucky,22249,"33,148","34,967"
Bracken,Kentucky,20918,"31,834","33,301"
Bradford,Pennsylvania,23667,"27,149","28,508"
Bradford,Florida,17749,"38,572","39,237"
Bradley,Tennessee,21649,"32,003","32,521"
Bradley,Arkansas,19386,"35,816","37,941"
Branch,Michigan,19947,"30,918","33,259"
Brantley,Georgia,16938,"23,067","25,762"
Braxton,West Virginia,18635,"28,130","28,548"
Brazoria,Texas,29081,"44,009","43,842"
Brazos,Texas,21720,"34,272","34,776"
Breathitt,Kentucky,14706,"29,458","29,488"
Breckinridge,Kentucky,18101,"31,607","32,269"
Bremer,Iowa,28727,"43,883","44,514"
Brevard,Florida,27009,"39,247","41,685"
Brewster,Texas,27796,"40,989","43,579"
Briscoe,Texas,20697,"38,034","35,305"
Bristol,Rhode Island,38893,"45,536","49,019"
Bristol,Massachusetts,28837,"65,976","70,504"
Bristol Bay,Alaska,37024,"63,700","64,069"
Bristol City,Virginia,18820,"30,121","31,437"
Broadwater,Montana,24270,"35,038","36,705"
Bronx,New York,18171,"31,269","33,154"
Brooke,West Virginia,22815,"35,857","37,320"
Brookings,South Dakota,23105,"41,948","43,111"
Brooks,Georgia,19409,"31,953","32,601"
Brooks,Texas,14345,"34,685","33,436"
Broome,New York,24835,"37,862","40,133"
Broomfield,Colorado,37442,"73,000","73,129"
Broward,Florida,28205,"43,134","46,906"
Brown,Wisconsin,27787,"27,458","28,195"
Brown,South Dakota,27138,"39,863","42,554"
Brown,Minnesota,26576,"42,416","43,384"
Brown,Indiana,25833,"46,526","48,584"
Brown,Nebraska,21843,"56,373","56,162"
Brown,Texas,21236,"31,375","33,576"
Brown,Ohio,21206,"46,962","48,978"
Brown,Kansas,21046,"32,568","33,973"
Brown,Illinois,20555,"45,237","47,319"
Brule,South Dakota,21928,"45,910","41,694"
Brunswick,North Carolina,26839,"35,694","37,971"
Brunswick,Virginia,16060,"30,099","32,958"
Bryan,Georgia,27556,"46,194","48,033"
Bryan,Oklahoma,20524,"30,290","31,902"
Buchanan,Iowa,27038,"42,227","43,607"
Buchanan,Missouri,21961,"35,674","36,942"
Buchanan,Virginia,17489,"31,742","31,677"
Buckingham,Virginia,17167,"26,342","27,637"
Bucks,Pennsylvania,37466,"61,903","65,895"
Buena Vista,Iowa,22899,"46,517","43,740"
Buena Vista City,Virginia,18453,"38,765","40,324"
Buffalo,Nebraska,24830,"45,961","48,026"
Buffalo,Wisconsin,24500,"23,018","22,675"
Buffalo,South Dakota,11405,"40,275","42,666"
Bullitt,Kentucky,24308,"34,460","37,848"
Bulloch,Georgia,18587,"28,109","29,737"
Bullock,Alabama,18628,"25,199","26,661"
Buncombe,North Carolina,26159,"39,770","43,232"
Bureau,Illinois,26705,"38,208","39,139"
Burke,North Dakota,32908,"30,912","33,809"
Burke,North Carolina,19701,"30,340","32,538"
Burke,Georgia,16171,"93,930","66,712"
Burleigh,North Dakota,32876,"55,803","55,587"
Burleson,Texas,21529,"40,454","40,421"
